timestamp,temperature_peltier_C,temperature_top_out_C,temperature_bottom_middle_C,temperature_bottom_out_C,interface_mm,filtered_interface_mm,growth_rate_mm_min,motor_position_mm,motor2_speed_steps_s,interface_source,motor_status,took_sample,took_picture
2026-05-12T13:06:31.736558,6.807184414005589,8.186862468749576,20.190295819769265,9.230408164087333,5.007564348828275,1.1360795539862512,0.0,0.0,200,detected,running,False,False
2026-05-12T13:06:32.736713,6.706254491523897,8.186862468749576,20.22407366104401,9.264076301297386,5.0059904153354635,1.8548076385080243,-3.5999999999999996,-0.06,200,detected,running,False,False
2026-05-12T13:06:33.736864,6.638969552306264,8.186862468749576,20.22407366104401,9.264076301297386,5.007094370860927,1.8444402806868032,-3.5999999999999996,-0.12,200,detected,running,False,False
2026-05-12T13:06:34.737204,6.638969552306264,8.186862468749576,20.22407366104401,9.264076301297386,5.006239600665558,1.7297076413570798,-3.5999999999999996,-0.18,200,detected,running,False,False
2026-05-12T13:06:35.737349,6.5044036953576505,8.220520197631163,20.22407366104401,9.264076301297386,5.00708158116064,1.6113361034498697,-3.5999999999999996,-0.24,200,detected,running,False,False
2026-05-12T13:06:36.737478,6.403482821132029,8.254178262114158,20.257851841525905,9.29774477442087,5.006645489199492,1.5019113134471906,-3.600000000000003,-0.3,200,detected,running,False,False
2026-05-12T13:06:37.738359,6.3025649624513225,8.254178262114158,20.22407366104401,9.331413583467171,5.006959863364646,1.4017834027345328,-3.600000000000003,-0.36,200,detected,running,False,False
2026-05-12T13:06:38.738505,6.3025649624513225,8.254178262114158,20.22407366104401,9.331413583467171,5.0071042634022795,1.308783615813451,-3.600000000000003,-0.42,200,detected,running,False,False
2026-05-12T13:06:39.738666,6.201650119044433,8.287836662209447,20.257851841525905,9.331413583467171,5.003460937500001,1.2336734796241453,-3.600000000000003,-0.465,200,fallback_last_detected,fallback,False,False
2026-05-12T13:06:40.738799,6.134375231792374,8.321495397926792,20.32540922015471,9.29774477442087,4.79,0.7329750938094586,-1.799999999999995,-0.48,20000,fallback_center,fallback,False,False
2026-05-12T13:06:41.738929,6.033465413242203,8.321495397926792,20.257851841525905,9.365082728447556,5.008023655093476,1.190777603686084,0.0,-0.51,20000,detected,running,False,False
2026-05-12T13:06:42.739106,6.033465413242203,8.321495397926792,20.257851841525905,9.365082728447556,5.008023655093476,1.145777603686084,-1.8000000000000016,-0.54,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:06:43.739436,5.93255860924605,8.355154469275583,20.29163036122622,9.230408164087333,4.9780087169708525,1.113066230489351,0.0,-0.57,20000,detected,running,False,False
2026-05-12T13:06:44.739578,5.831654819533196,8.321495397926792,20.190295819769265,9.12940576783638,4.9780087169708525,1.0680662304893511,-1.8000000000000016,-0.6,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:06:45.739715,5.7307540438336675,8.254178262114158,20.29163036122622,9.12940576783638,4.79,0.6129750938094585,0.0,-0.6,20000,fallback_center,fallback,False,False
2026-05-12T13:06:46.739910,5.7307540438336675,8.254178262114158,20.29163036122622,9.12940576783638,4.879169884169884,0.9888833756960116,-3.600000000000003,-0.645,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:06:47.740114,5.629856281877495,8.153205075460008,20.22407366104401,9.163072897366968,4.79,0.552975093809458,-1.8000000000000016,-0.66,20000,fallback_center,fallback,False,False
2026-05-12T13:06:48.740237,5.528961533395083,8.085891295616374,20.29163036122622,9.095738974179422,4.79,0.552975093809458,0.0,-0.66,20000,fallback_center,fallback,False,False
2026-05-12T13:06:49.740825,5.428069798115708,8.085891295616374,20.32540922015471,9.196740362780574,4.79,0.552975093809458,0.0,-0.66,20000,fallback_center,fallback,False,False
2026-05-12T13:06:50.746245,5.428069798115708,8.085891295616374,20.32540922015471,9.196740362780574,4.79,0.552975093809458,0.0,-0.66,20000,fallback_center,fallback,False,False
2026-05-12T13:06:51.755870,5.3608103151311415,8.119548017752319,20.32540922015471,9.230408164087333,4.79,0.552975093809458,0.0,-0.66,20000,fallback_center,fallback,False,False
2026-05-12T13:06:52.757371,5.226295366086938,8.085891295616374,20.32540922015471,9.331413583467171,4.8992650334075725,0.9025025179923967,-3.59999999999999,-0.705,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:06:53.759669,5.159039899867347,8.085891295616374,20.29163036122622,9.432422026248494,4.79,0.49297509380945836,-1.8000000000000016,-0.72,20000,fallback_center,fallback,False,False
2026-05-12T13:06:54.759783,5.159039899867347,8.085891295616374,20.29163036122622,9.432422026248494,4.79,0.49297509380945836,0.0,-0.72,20000,fallback_center,fallback,False,False
2026-05-12T13:06:55.760611,5.058159210691278,8.052234909042035,20.257851841525905,9.432422026248494,4.79,0.49297509380945836,0.0,-0.72,20000,fallback_center,fallback,False,False
2026-05-12T13:06:56.760725,4.990907091225626,8.052234909042035,20.29163036122622,9.533433492701647,4.8913264781491,0.817778194791881,-3.600000000000003,-0.765,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:06:57.760857,4.890031421805738,8.052234909042035,20.359188418321146,9.668120151932806,4.982247043363995,0.7807406145079687,-1.8000000000000016,-0.81,20000,detected,running,False,False
2026-05-12T13:06:58.761372,4.890031421805738,8.052234909042035,20.359188418321146,9.668120151932806,4.982247043363995,0.7357406145079688,-1.7999999999999883,-0.84,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:06:59.764140,4.822782648595013,8.052234909042035,20.29163036122622,9.668120151932806,4.79,0.37297509380945826,0.0,-0.84,20000,fallback_center,fallback,False,False
2026-05-12T13:07:00.765778,4.721911998182596,8.119548017752319,20.359188418321146,9.769138674677837,4.79,0.37297509380945826,0.0,-0.84,20000,fallback_center,fallback,False,False
2026-05-12T13:07:01.768886,4.621044358814949,8.052234909042035,20.32540922015471,9.937509600671422,4.980077452667814,0.7136650097553385,0.0,-0.87,20000,detected,running,False,False
2026-05-12T13:07:02.769226,4.621044358814949,8.052234909042035,20.32540922015471,9.937509600671422,4.980077452667814,0.6686650097553386,-1.8000000000000016,-0.9,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:07:03.769686,4.520179730222854,8.119548017752319,20.359188418321146,9.971184794173354,4.79,0.3129750938094582,0.0,-0.9,20000,fallback_center,fallback,False,False
2026-05-12T13:07:04.772588,4.452938317014287,8.018578858019536,20.29163036122622,10.004860323799736,4.79,0.3129750938094582,0.0,-0.9,20000,fallback_center,fallback,False,False
2026-05-12T13:07:05.773208,4.419318112135965,8.052234909042035,20.29163036122622,10.072212391466783,4.978741919443063,0.6467003942206695,0.0,-0.93,20000,detected,running,False,False
2026-05-12T13:07:06.778781,4.419318112135965,8.052234909042035,20.29163036122622,10.072212391466783,4.978741919443063,0.6017003942206696,-1.7999999999999883,-0.96,20000,fallback_last_detected,fallback,False,False
2026-05-12T13:07:07.779224,4.3184595042854355,8.085891295616374,20.32540922015471,10.105888929527346,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:08.784424,4.25122210460557,8.052234909042035,20.29163036122622,10.206920560738487,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:09.789986,4.150368513216373,7.984923142538744,20.32540922015471,10.240598443518765,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:10.795273,4.150368513216373,7.984923142538744,20.32540922015471,10.240598443518765,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:11.810461,4.049517931344489,8.018578858019536,20.32540922015471,10.307955217705002,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:12.810766,3.9486703587210754,8.018578858019536,20.29163036122622,10.34163410913086,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:13.811620,3.9150551698550093,7.984923142538744,20.359188418321146,10.375313336792312,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:14.816839,3.9150551698550093,7.984923142538744,20.359188418321146,10.375313336792312,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:15.822066,3.814211609143099,7.984923142538744,20.29163036122622,10.442672800861047,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:16.824181,3.7469842401405207,8.018578858019536,20.32540922015471,10.442672800861047,4.79,0.25297509380945815,0.0,-0.96,20000,fallback_center,fallback,False,False
2026-05-12T13:07:17.829373,3.646145693645316,7.984923142538744,20.29163036122622,10.51003360999156,4.961772966647162,0.5774972398396239,0.0,-0.99,20000,detected,running,False,False
